count,year,for_id
1415,2013,899
1939,2012,899
1531,2008,899
2033,2019,899
2082,2017,899
1376,2005,899
1326,2004,899
1481,2011,899
1774,2015,899
1547,2010,899
2684,2018,899
1042,2003,899
1426,2009,899
1856,2016,899
1668,2014,899
1542,2006,899
1450,2007,899
15491,2015,806
13607,2011,806
10483,2008,806
4762,2000,806
11281,2010,806
9058,2004,806
13458,2009,806
10494,2006,806
4590,1999,806
16041,2013,806
12755,2012,806
6154,2001,806
12937,2007,806
7867,2003,806
5043,2002,806
15108,2018,806
10612,2005,806
14894,2014,806
10803,2019,806
15840,2016,806
16171,2017,806
4834,1999,802
1649,1988,802
10054,2013,802
10872,2018,802
3079,1992,802
4887,1998,802
3250,1993,802
9613,2011,802
9284,2010,802
9848,2006,802
7259,2019,802
7102,2003,802
10545,2017,802
9621,2014,802
10491,2016,802
8123,2004,802
5207,2000,802
2878,1991,802
2257,1990,802
5800,2001,802
10219,2008,802
3642,1995,802
4202,1996,802
10116,2007,802
1373,1987,802
3490,1994,802
4410,1997,802
9379,2012,802
6502,2002,802
1861,1989,802
8728,2005,802
10146,2015,802
10028,2009,802
4094,2005,8
5445,2016,8
5216,2007,8
3307,2004,8
4531,2008,8
4021,2006,8
1915,1999,8
3966,2019,8
1805,1998,8
1199,1997,8
4968,2010,8
5702,2017,8
5484,2012,8
5364,2009,8
5887,2013,8
5046,2011,8
5585,2015,8
2595,2002,8
5523,2018,8
2239,2000,8
6221,2014,8
2139,2001,8
3095,2003,8
655,1990,8
1089,1996,8
464,1988,8
845,1994,8
811,1992,8
445,1987,8
535,1989,8
382,1986,8
826,1993,8
1158,1995,8
711,1991,8
342,1985,8
36197,2017,801
29969,2011,801
28228,2009,801
36196,2016,801
21875,2019,801
40334,2018,801
10161,1997,801
6638,1993,801
30581,2010,801
32316,2014,801
15299,2002,801
31854,2012,801
30947,2013,801
25955,2007,801
10274,1996,801
33503,2015,801
20037,2004,801
27117,2008,801
11608,2001,801
8363,1995,801
11558,1998,801
22719,2005,801
12558,2000,801
14416,2003,801
7716,1994,801
11381,1999,801
25238,2006,801
3906,1989,801
5044,1990,801
5791,1992,801
4834,1991,801
8152,2005,803
3683,2000,803
2724,1997,803
8135,2006,803
5875,2004,803
3944,2002,803
4822,2003,803
2744,1996,803
3038,1999,803
3563,2001,803
9832,2008,803
9191,2007,803
9060,2009,803
2852,1998,803
8994,2010,803
9684,2011,803
9845,2012,803
10761,2013,803
1040,1981,802
933,1980,802
1104,1984,802
9121,2012,805
7633,2005,805
10278,2016,805
10021,2014,805
2651,1997,805
10806,2015,805
6968,2019,805
11826,2018,805
11978,2017,805
3350,2001,805
8499,2006,805
8313,2011,805
8666,2007,805
8088,2010,805
2382,1998,805
7802,2009,805
5895,2004,805
3472,2002,805
10011,2013,805
8272,2008,805
2909,2000,805
5479,2003,805
2990,1999,805
1794,2002,899
935,2001,899
4987,2008,804
5642,2014,804
2601,2003,804
5113,2010,804
4715,2011,804
5349,2013,804
4131,2005,804
4965,2009,804
4942,2006,804
2224,2002,804
3696,2004,804
5188,2012,804
4793,2007,804
5223,2017,804
3335,2019,804
5711,2016,804
5588,2018,804
5314,2015,804
4402,1998,806
1913,1993,806
2173,1995,806
3780,1997,806
1055,1992,806
932,1990,806
868,1991,806
2166,1996,806
1805,1994,806
931,1989,806
1754,2011,807
1002,2000,807
1566,2006,807
1788,2007,807
2404,2018,807
1690,2008,807
2473,2016,807
2321,2015,807
1236,2003,807
877,1998,807
1762,2010,807
1540,2005,807
931,1999,807
1415,2004,807
1890,2019,807
2292,2017,807
2534,2014,807
2138,2013,807
1030,2001,807
1182,2002,807
1786,2009,807
1910,2012,807
910,1985,803
976,1987,803
1570,1991,803
1616,1992,803
1498,1989,803
699,1984,803
1345,1990,803
1948,1993,803
1971,1994,803
2313,1995,803
1280,1988,803
879,1986,803
1451,1998,804
1721,1999,804
997,1995,804
1790,2000,804
506,1988,804
923,1992,804
1238,1996,804
773,1991,804
615,1990,804
2119,2001,804
1275,1997,804
997,1993,804
1028,1994,804
669,1996,807
775,1997,807
441,1995,807
12030,2018,803
10859,2015,803
11604,2017,803
10876,2014,803
11420,2016,803
1077,1980,801
1289,1982,801
2675,1987,801
4098,1988,801
1771,1985,801
897,1978,801
2161,1986,801
1499,1984,801
1540,1983,801
881,1979,801
972,1977,801
1053,1981,801
784,1975,801
752,1973,801
755,1976,801
530,1971,801
657,1972,801
621,1969,801
806,1979,802
709,1976,802
1337,1986,802
762,1977,802
1179,1985,802
709,1978,802
485,1975,802
880,1982,802
1009,1983,802
2071,1996,805
2060,1995,805
1693,1993,805
1858,1994,805
1422,1992,805
1342,1991,805
369,1994,807
333,1993,807
351,1992,807
232,1991,807
861,1998,899
711,1999,899
768,2000,899
342,1981,8
292,1982,8
262,1980,8
311,1983,8
310,1984,8
195,1976,8
152,1974,8
172,1975,8
263,1979,8
172,1972,8
146,1971,8
188,1978,8
133,1973,8
167,1977,8
1309,1990,805
7463,2019,803
332,1984,805
676,1987,805
168,1981,805
977,1989,805
84,1978,805
303,1982,805
34,1976,805
602,1986,805
395,1985,805
90,1979,805
74,1980,805
322,1983,805
704,1988,805
34,1977,805
108,1981,807
44,1973,807
84,1979,807
125,1980,807
38,1975,807
108,1982,807
123,1984,807
206,1989,807
109,1983,807
27,2020,807
35,1977,807
181,1988,807
179,1986,807
196,1987,807
197,1990,807
24,1969,807
75,1978,807
21,1972,807
20,1971,807
38,1976,807
132,1985,807
6,1968,807
24,1970,807
19,1974,807
512,1996,899
501,1994,899
204,1986,899
305,1990,899
590,1997,899
257,1987,899
155,1981,899
41,1970,899
137,1983,899
26,1971,899
370,1995,899
284,1991,899
352,1993,899
93,1985,899
236,1989,899
110,1982,899
116,1980,899
138,1984,899
94,1979,899
233,1988,899
84,1977,899
90,1978,899
33,1973,899
12,1969,899
12,1968,899
289,1992,899
52,1972,899
17,1974,899
86,1976,899
60,1975,899
137,1966,802
283,1971,802
440,1973,802
175,1967,802
53,1955,802
167,1969,802
194,1968,802
351,1972,802
530,1974,802
49,1954,802
182,1970,802
26,1953,802
3,1952,802
732,1989,804
696,1983,803
48,1960,803
594,1980,803
340,1971,803
66,1965,803
42,1959,803
712,1978,803
44,1957,803
84,1964,803
667,1981,803
540,1976,803
424,1975,803
446,1977,803
454,1974,803
25,1961,803
338,1972,803
63,1963,803
56,1962,803
384,1973,803
36,1958,803
682,1979,803
575,1982,803
658,1974,801
413,1970,801
308,1984,806
162,1977,806
197,1980,806
590,1988,806
291,1983,806
171,1978,806
448,1986,806
236,1981,806
209,1982,806
176,1979,806
557,1987,806
337,1985,806
19,1974,805
20,1973,805
22,1975,805
20,1972,805
235,1968,803
250,1970,803
214,1969,803
97,1976,806
114,1975,806
137,1970,8
41,1962,8
92,1967,8
49,1961,8
37,1956,8
21,1954,8
90,1969,8
51,1957,8
43,1964,8
40,1960,8
50,1959,8
22,1955,8
39,1958,8
49,1963,8
92,1966,8
58,1965,8
86,1968,8
256,1965,801
340,1966,801
534,1968,801
181,1963,801
178,1964,801
473,1967,801
28,2020,8
93,1974,806
477,1987,804
347,1985,804
6,2020,802
27,2020,801
16,1966,803
17,1967,803
253,1981,804
543,1986,804
337,1984,804
353,1983,804
170,1979,804
212,1980,804
229,1982,804
81,1976,804
152,1977,804
188,1978,804
43,1972,804
47,1974,804
19,1973,804
38,1971,804
120,1975,804
23,1969,804
39,1970,804
80,1962,801
83,1961,801
46,1959,801
55,1960,801
36,1958,801
1653,2019,1006
4640,2017,1006
4941,2013,1006
4728,2015,1006
789,1997,1006
4123,2009,1006
1262,2001,1006
425,1995,1006
3907,2011,1006
2309,2003,1006
4822,2007,1006
905,1999,1006
3563,2005,1006
333,1993,1006
2179,2007,1005
2999,2011,1005
2944,2012,1005
484,2000,1005
581,1999,1005
2440,2010,1005
2853,2013,1005
998,2003,1005
548,1997,1005
997,2004,1005
2359,2017,1005
590,1996,1005
732,2002,1005
1149,2006,1005
549,2001,1005
1194,2005,1005
2691,2015,1005
1895,2008,1005
2465,2009,1005
4428,2008,1006
4116,2006,1006
3748,2010,1006
4309,2014,1006
4175,2016,1006
4651,2012,1006
2567,2002,1006
2266,2000,1006
4271,2018,1006
3539,2004,1006
914,1996,1006
1151,1998,1006
306,1994,1006
3003,2018,1005
610,2019,1005
221,1991,1005
299,1993,1005
285,1994,1005
2410,2014,1005
461,1995,1005
480,1998,1005
248,1992,1005
2565,2016,1005
131,1984,1005
992,2015,913
689,2007,913
380,2001,913
879,2017,913
1087,2018,913
319,1998,913
788,2011,913
901,2013,913
688,2008,913
266,1995,913
664,2005,913
1007,2006,913
831,2016,913
313,1993,913
379,2000,913
290,1992,913
338,1994,913
994,2010,913
500,2002,913
950,2009,913
661,2004,913
256,1991,913
239,1996,913
855,2012,913
750,2014,913
312,1999,913
621,2003,913
140,1990,913
291,1997,913
90,1989,913
1063,2017,902
1072,2008,902
1229,2006,902
1171,2011,902
991,2015,902
872,2013,902
843,2014,902
1093,2007,902
913,2018,902
157,2004,902
1002,2012,902
1112,2010,902
435,2002,902
391,1994,902
1054,2009,902
932,2016,902
578,2001,902
353,2019,902
220,1992,1006
3,2020,803
33,1965,802
26,1964,802
27,1961,802
10,1960,802
14,1963,802
17,1962,802
436,1986,1006
339,1984,1006
14,2009,909
15,2019,909
22,2007,909
25,2006,909
16,2008,909
12,2017,909
16,2018,909
13,2014,909
27,2005,909
19,2011,909
19,2004,909
17,2013,909
13,2015,909
18,2012,909
143,1988,1006
60,1987,1006
133,1990,1006
45,1985,1006
128,1991,1006
27,1983,1006
149,1989,1006
33,1976,1006
46,1981,1006
47,1982,1006
18,2008,910
66,2011,910
96,2009,910
65,2010,910
365,2004,1203
226,2013,1203
367,2008,1203
77,1998,1203
276,2012,1203
208,2003,1203
158,2017,1203
280,2007,1203
290,2005,1203
202,2011,1203
233,2014,1203
335,2006,1203
218,2009,1203
159,2001,1203
148,2016,1203
149,2015,1203
217,2010,1203
122,2018,1203
115,2019,1203
23,1980,1006
2,2020,806
61,1971,806
55,1973,806
94,2017,910
59,2018,910
1393,2010,999
1,2020,805
143,1986,1005
114,1983,1005
106,1982,1005
121,1989,1005
140,1990,1005
136,1988,1005
137,1985,1005
76,1981,1005
39,2013,910
25,1967,806
29,1968,806
31,1969,806
50,1972,806
37,1970,806
18,1964,806
20,1965,806
17,1966,806